rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;podstawowy;jezyk ukrainski;kobiety;2016;78.4
pisemny;podstawowy;matematyka;kobiety;2016;55.6
pisemny;podstawowy;jezyk angielski;kobiety;2016;70.6
pisemny;podstawowy;jezyk niemiecki;kobiety;2016;73.0
pisemny;podstawowy;jezyk francuski;kobiety;2016;78.6
pisemny;podstawowy;jezyk rosyjski;kobiety;2016;64.9
pisemny;podstawowy;jezyk hiszpanski;kobiety;2016;81.8
pisemny;podstawowy;jezyk wloski;kobiety;2016;80.1
pisemny;podstawowy;jezyk polski;mezczyzni;2016;55.5
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2016;64.0
pisemny;podstawowy;jezyk litewski;mezczyzni;2016;81.1
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2016;70.9
pisemny;podstawowy;matematyka;mezczyzni;2016;56.7
pisemny;podstawowy;jezyk angielski;mezczyzni;2016;72.4
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2016;67.9
pisemny;podstawowy;jezyk francuski;mezczyzni;2016;79.3
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2016;58.7
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2016;82.1
pisemny;podstawowy;jezyk wloski;mezczyzni;2016;83.6
pisemny;podstawowy;jezyk polski;ogolem;2016;59.1
pisemny;podstawowy;jezyk bialoruski;ogolem;2016;69.6
pisemny;podstawowy;jezyk litewski;ogolem;2016;83.0
pisemny;podstawowy;jezyk ukrainski;ogolem;2016;75.5
pisemny;podstawowy;matematyka;ogolem;2016;56.1
pisemny;podstawowy;jezyk angielski;ogolem;2016;71.4
pisemny;podstawowy;jezyk niemiecki;ogolem;2016;71.1
pisemny;podstawowy;jezyk francuski;ogolem;2016;78.8
pisemny;podstawowy;jezyk rosyjski;ogolem;2016;62.8
pisemny;podstawowy;jezyk hiszpanski;ogolem;2016;81.9
pisemny;podstawowy;jezyk wloski;ogolem;2016;80.9
pisemny;rozszerzony;jezyk polski;kobiety;2016;61.3
pisemny;rozszerzony;jezyk bialoruski;kobiety;2016;100.0
pisemny;rozszerzony;jezyk litewski;kobiety;2016;79.9
pisemny;rozszerzony;jezyk ukrainski;kobiety;2016;90.4
pisemny;rozszerzony;matematyka;kobiety;2016;32.8
pisemny;rozszerzony;jezyk angielski;kobiety;2016;55.0
pisemny;rozszerzony;jezyk niemiecki;kobiety;2016;53.8
pisemny;rozszerzony;jezyk francuski;kobiety;2016;65.3
pisemny;rozszerzony;jezyk rosyjski;kobiety;2016;57.2
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2016;58.2
pisemny;rozszerzony;jezyk wloski;kobiety;2016;65.9
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2016;25.5
pisemny;rozszerzony;geografia;kobiety;2016;37.9
pisemny;rozszerzony;biologia;kobiety;2016;36.1
pisemny;rozszerzony;chemia;kobiety;2016;37.4
pisemny;rozszerzony;historia;kobiety;2016;41.7
pisemny;rozszerzony;fizyka;kobiety;2016;41.9
pisemny;rozszerzony;historia muzyki;kobiety;2016;53.6
pisemny;rozszerzony;historia sztuki;kobiety;2016;45.9
pisemny;rozszerzony;filozofia;kobiety;2016;53.7
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2016;50.2
pisemny;rozszerzony;informatyka;kobiety;2016;42.8
pisemny;rozszerzony;jezyk kaszubski;kobiety;2016;64.0
pisemny;rozszerzony;jezyk lemkowski;kobiety;2016;95.0
pisemny;rozszerzony;jezyk polski;mezczyzni;2016;58.6
pisemny;rozszerzony;jezyk bialoruski;mezczyzni;2016;100.0
pisemny;rozszerzony;jezyk litewski;mezczyzni;2016;78.3
pisemny;rozszerzony;jezyk ukrainski;mezczyzni;2016;75.8
pisemny;rozszerzony;matematyka;mezczyzni;2016;29.1
pisemny;rozszerzony;jezyk angielski;mezczyzni;2016;55.2
pisemny;rozszerzony;jezyk niemiecki;mezczyzni;2016;53.4
pisemny;rozszerzony;jezyk francuski;mezczyzni;2016;63.7
pisemny;rozszerzony;jezyk rosyjski;mezczyzni;2016;56.6
pisemny;rozszerzony;jezyk hiszpanski;mezczyzni;2016;59.0
pisemny;rozszerzony;jezyk wloski;mezczyzni;2016;71.1
pisemny;rozszerzony;wiedza o spoleczenstwie;mezczyzni;2016;28.9
pisemny;rozszerzony;geografia;mezczyzni;2016;39.9
pisemny;rozszerzony;biologia;mezczyzni;2016;36.8
pisemny;rozszerzony;chemia;mezczyzni;2016;42.1
pisemny;rozszerzony;historia;mezczyzni;2016;42.2
pisemny;rozszerzony;fizyka;mezczyzni;2016;40.7
pisemny;rozszerzony;historia muzyki;mezczyzni;2016;45.7
pisemny;rozszerzony;historia sztuki;mezczyzni;2016;40.4
pisemny;rozszerzony;filozofia;mezczyzni;2016;44.3
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;mezczyzni;2016;45.9
pisemny;rozszerzony;informatyka;mezczyzni;2016;38.5
pisemny;rozszerzony;jezyk kaszubski;mezczyzni;2016;43.8
pisemny;rozszerzony;jezyk lemkowski;mezczyzni;2016;0.0
pisemny;rozszerzony;jezyk polski;ogolem;2016;60.7
pisemny;rozszerzony;jezyk bialoruski;ogolem;2016;100.0
pisemny;rozszerzony;jezyk litewski;ogolem;2016;79.4
pisemny;rozszerzony;jezyk ukrainski;ogolem;2016;86.9
pisemny;rozszerzony;matematyka;ogolem;2016;30.5
pisemny;rozszerzony;jezyk angielski;ogolem;2016;55.1
pisemny;rozszerzony;jezyk niemiecki;ogolem;2016;53.7
pisemny;rozszerzony;jezyk francuski;ogolem;2016;65.0
pisemny;rozszerzony;jezyk rosyjski;ogolem;2016;57.0
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2016;58.4
pisemny;rozszerzony;jezyk wloski;ogolem;2016;67.1
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2016;26.9
pisemny;rozszerzony;geografia;ogolem;2016;38.8
pisemny;rozszerzony;biologia;ogolem;2016;36.3
pisemny;rozszerzony;chemia;ogolem;2016;38.7
pisemny;rozszerzony;historia;ogolem;2016;42.0
pisemny;rozszerzony;fizyka;ogolem;2016;41.0
pisemny;rozszerzony;historia muzyki;ogolem;2016;49.9
pisemny;rozszerzony;historia sztuki;ogolem;2016;44.8
pisemny;rozszerzony;filozofia;ogolem;2016;48.6
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2016;48.4
pisemny;rozszerzony;informatyka;ogolem;2016;38.9
pisemny;rozszerzony;jezyk kaszubski;ogolem;2016;55.9
pisemny;rozszerzony;jezyk lemkowski;ogolem;2016;47.5
