rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2020;0.0
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2020;0.0
ustny;nie dotyczy;jezyk wloski;mezczyzni;2020;0.0
ustny;nie dotyczy;jezyk polski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk angielski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk niemiecki;ogolem;2020;0.0
ustny;nie dotyczy;jezyk francuski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk rosyjski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk wloski;ogolem;2020;0.0
pisemny;podstawowy;jezyk polski;kobiety;2021;58.1
pisemny;podstawowy;jezyk bialoruski;kobiety;2021;72.0
pisemny;podstawowy;jezyk litewski;kobiety;2021;80.3
pisemny;podstawowy;jezyk ukrainski;kobiety;2021;84.0
pisemny;podstawowy;matematyka;kobiety;2021;56.5
pisemny;podstawowy;jezyk angielski;kobiety;2021;75.4
pisemny;podstawowy;jezyk niemiecki;kobiety;2021;58.6
pisemny;podstawowy;jezyk francuski;kobiety;2021;81.5
pisemny;podstawowy;jezyk rosyjski;kobiety;2021;69.4
pisemny;podstawowy;jezyk hiszpanski;kobiety;2021;75.9
pisemny;podstawowy;jezyk wloski;kobiety;2021;80.2
pisemny;podstawowy;jezyk polski;mezczyzni;2021;51.9
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2021;59.7
pisemny;podstawowy;jezyk litewski;mezczyzni;2021;68.4
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2021;80.2
pisemny;podstawowy;matematyka;mezczyzni;2021;56.3
pisemny;podstawowy;jezyk angielski;mezczyzni;2021;77.4
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2021;57.9
pisemny;podstawowy;jezyk francuski;mezczyzni;2021;83.5
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2021;65.2
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2021;77.8
pisemny;podstawowy;jezyk wloski;mezczyzni;2021;82.2
pisemny;podstawowy;jezyk polski;ogolem;2021;55.2
pisemny;podstawowy;jezyk bialoruski;ogolem;2021;67.0
pisemny;podstawowy;jezyk litewski;ogolem;2021;75.1
pisemny;podstawowy;jezyk ukrainski;ogolem;2021;82.7
pisemny;podstawowy;matematyka;ogolem;2021;56.4
pisemny;podstawowy;jezyk angielski;ogolem;2021;76.3
pisemny;podstawowy;jezyk niemiecki;ogolem;2021;58.4
pisemny;podstawowy;jezyk francuski;ogolem;2021;82.0
pisemny;podstawowy;jezyk rosyjski;ogolem;2021;67.9
pisemny;podstawowy;jezyk hiszpanski;ogolem;2021;76.4
pisemny;podstawowy;jezyk wloski;ogolem;2021;80.8
pisemny;rozszerzony;jezyk polski;kobiety;2021;50.3
pisemny;rozszerzony;jezyk bialoruski;kobiety;2021;100.0
pisemny;rozszerzony;jezyk litewski;kobiety;2021;87.4
pisemny;rozszerzony;jezyk ukrainski;kobiety;2021;66.6
pisemny;rozszerzony;matematyka;kobiety;2021;34.4
pisemny;rozszerzony;jezyk angielski;kobiety;2021;65.3
pisemny;rozszerzony;jezyk niemiecki;kobiety;2021;58.2
pisemny;rozszerzony;jezyk francuski;kobiety;2021;63.9
pisemny;rozszerzony;jezyk rosyjski;kobiety;2021;74.8
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2021;60.0
pisemny;rozszerzony;jezyk wloski;kobiety;2021;71.6
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2021;25.1
pisemny;rozszerzony;geografia;kobiety;2021;33.0
pisemny;rozszerzony;biologia;kobiety;2021;32.8
pisemny;rozszerzony;chemia;kobiety;2021;33.3
pisemny;rozszerzony;historia;kobiety;2021;33.4
pisemny;rozszerzony;fizyka;kobiety;2021;38.1
pisemny;rozszerzony;historia muzyki;kobiety;2021;48.8
pisemny;rozszerzony;historia sztuki;kobiety;2021;44.7
pisemny;rozszerzony;filozofia;kobiety;2021;29.0
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2021;48.8
pisemny;rozszerzony;informatyka;kobiety;2021;40.2
pisemny;rozszerzony;jezyk kaszubski;kobiety;2021;55.0
pisemny;rozszerzony;jezyk lemkowski;kobiety;2021;89.0
pisemny;rozszerzony;jezyk polski;mezczyzni;2021;44.9
pisemny;rozszerzony;jezyk bialoruski;mezczyzni;2021;100.0
pisemny;rozszerzony;jezyk litewski;mezczyzni;2021;68.1
pisemny;rozszerzony;jezyk ukrainski;mezczyzni;2021;63.6
pisemny;rozszerzony;matematyka;mezczyzni;2021;29.3
pisemny;rozszerzony;jezyk angielski;mezczyzni;2021;64.6
pisemny;rozszerzony;jezyk niemiecki;mezczyzni;2021;58.7
pisemny;rozszerzony;jezyk francuski;mezczyzni;2021;62.9
pisemny;rozszerzony;jezyk rosyjski;mezczyzni;2021;77.4
pisemny;rozszerzony;jezyk hiszpanski;mezczyzni;2021;58.1
pisemny;rozszerzony;jezyk wloski;mezczyzni;2021;73.0
pisemny;rozszerzony;wiedza o spoleczenstwie;mezczyzni;2021;32.0
pisemny;rozszerzony;geografia;mezczyzni;2021;33.9
pisemny;rozszerzony;biologia;mezczyzni;2021;34.5
pisemny;rozszerzony;chemia;mezczyzni;2021;40.0
pisemny;rozszerzony;historia;mezczyzni;2021;39.7
pisemny;rozszerzony;fizyka;mezczyzni;2021;36.9
pisemny;rozszerzony;historia muzyki;mezczyzni;2021;40.0
pisemny;rozszerzony;historia sztuki;mezczyzni;2021;40.1
pisemny;rozszerzony;filozofia;mezczyzni;2021;29.9
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;mezczyzni;2021;50.8
pisemny;rozszerzony;informatyka;mezczyzni;2021;37.7
pisemny;rozszerzony;jezyk kaszubski;mezczyzni;2021;71.7
pisemny;rozszerzony;jezyk lemkowski;mezczyzni;2021;0.0
pisemny;rozszerzony;jezyk polski;ogolem;2021;49.1
pisemny;rozszerzony;jezyk bialoruski;ogolem;2021;100.0
pisemny;rozszerzony;jezyk litewski;ogolem;2021;79.3
pisemny;rozszerzony;jezyk ukrainski;ogolem;2021;65.4
pisemny;rozszerzony;matematyka;ogolem;2021;31.4
pisemny;rozszerzony;jezyk angielski;ogolem;2021;65.0
pisemny;rozszerzony;jezyk niemiecki;ogolem;2021;58.4
pisemny;rozszerzony;jezyk francuski;ogolem;2021;63.7
pisemny;rozszerzony;jezyk rosyjski;ogolem;2021;75.8
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2021;59.6
pisemny;rozszerzony;jezyk wloski;ogolem;2021;72.0
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2021;27.9
pisemny;rozszerzony;geografia;ogolem;2021;33.4
pisemny;rozszerzony;biologia;ogolem;2021;33.2
pisemny;rozszerzony;chemia;ogolem;2021;35.0
pisemny;rozszerzony;historia;ogolem;2021;36.6
pisemny;rozszerzony;fizyka;ogolem;2021;37.2
pisemny;rozszerzony;historia muzyki;ogolem;2021;45.4
pisemny;rozszerzony;historia sztuki;ogolem;2021;43.9
pisemny;rozszerzony;filozofia;ogolem;2021;29.4
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2021;49.4
pisemny;rozszerzony;informatyka;ogolem;2021;37.9
pisemny;rozszerzony;jezyk kaszubski;ogolem;2021;61.3
pisemny;rozszerzony;jezyk lemkowski;ogolem;2021;89.0
ustny;nie dotyczy;jezyk polski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk angielski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk niemiecki;kobiety;2021;0.0
ustny;nie dotyczy;jezyk francuski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk rosyjski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk wloski;kobiety;2021;0.0
ustny;nie dotyczy;jezyk polski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk angielski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk francuski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk wloski;mezczyzni;2021;0.0
ustny;nie dotyczy;jezyk polski;ogolem;2021;0.0
ustny;nie dotyczy;jezyk angielski;ogolem;2021;0.0
ustny;nie dotyczy;jezyk niemiecki;ogolem;2021;0.0
ustny;nie dotyczy;jezyk francuski;ogolem;2021;0.0
ustny;nie dotyczy;jezyk rosyjski;ogolem;2021;0.0
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2021;0.0
ustny;nie dotyczy;jezyk wloski;ogolem;2021;0.0
pisemny;podstawowy;jezyk polski;kobiety;2022;57.2
pisemny;podstawowy;jezyk bialoruski;kobiety;2022;70.5
pisemny;podstawowy;jezyk litewski;kobiety;2022;80.0
pisemny;podstawowy;jezyk ukrainski;kobiety;2022;73.7
pisemny;podstawowy;matematyka;kobiety;2022;57.4
pisemny;podstawowy;jezyk angielski;kobiety;2022;74.8
pisemny;podstawowy;jezyk niemiecki;kobiety;2022;56.6
pisemny;podstawowy;jezyk francuski;kobiety;2022;80.8
pisemny;podstawowy;jezyk rosyjski;kobiety;2022;67.6
pisemny;podstawowy;jezyk hiszpanski;kobiety;2022;77.0
pisemny;podstawowy;jezyk wloski;kobiety;2022;77.9
pisemny;podstawowy;jezyk polski;mezczyzni;2022;50.3
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2022;71.3
pisemny;podstawowy;jezyk litewski;mezczyzni;2022;66.6
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2022;68.9
pisemny;podstawowy;matematyka;mezczyzni;2022;57.8
pisemny;podstawowy;jezyk angielski;mezczyzni;2022;78.2
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2022;58.0
pisemny;podstawowy;jezyk francuski;mezczyzni;2022;81.8
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2022;68.0
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2022;76.0
pisemny;podstawowy;jezyk wloski;mezczyzni;2022;74.4
pisemny;podstawowy;jezyk polski;ogolem;2022;54.1
pisemny;podstawowy;jezyk bialoruski;ogolem;2022;70.9
pisemny;podstawowy;jezyk litewski;ogolem;2022;73.6
pisemny;podstawowy;jezyk ukrainski;ogolem;2022;72.2
pisemny;podstawowy;matematyka;ogolem;2022;57.6
pisemny;podstawowy;jezyk angielski;ogolem;2022;76.4
pisemny;podstawowy;jezyk niemiecki;ogolem;2022;57.1
pisemny;podstawowy;jezyk francuski;ogolem;2022;81.1
pisemny;podstawowy;jezyk rosyjski;ogolem;2022;67.7
pisemny;podstawowy;jezyk hiszpanski;ogolem;2022;76.7
pisemny;podstawowy;jezyk wloski;ogolem;2022;76.7
pisemny;rozszerzony;jezyk polski;kobiety;2022;55.3
pisemny;rozszerzony;jezyk bialoruski;kobiety;2022;99.4
pisemny;rozszerzony;jezyk litewski;kobiety;2022;80.0
pisemny;rozszerzony;jezyk ukrainski;kobiety;2022;73.8
pisemny;rozszerzony;matematyka;kobiety;2022;36.9
